GRID_CODE,POINT_X,POINT_Y,NLCD,UPPERL_X,UPPERL_Y,X_Ind,Y_Ind_Flip,Y_Ind,X_Ext,Y_Ext
302,745675.4957,4308172,DHI,745675,4308172,675,172,827,745000,4308000
303,745694.5457,4308182.319,DHI,745695,4308182,695,182,817,745000,4308000
304,745730.2645,4308186.685,DHI,745730,4308187,730,187,812,745000,4308000
305,745748.9177,4308218.832,DHI,745749,4308219,749,219,780,745000,4308000
306,745761.2208,4308204.147,DHI,745761,4308204,761,204,795,745000,4308000
307,745766.7771,4308187.875,DHI,745767,4308188,767,188,811,745000,4308000
308,745789.399,4308181.129,DHI,745789,4308181,789,181,818,745000,4308000
309,745803.6865,4308161.682,DHI,745804,4308162,804,162,837,745000,4308000
310,745819.1647,4308140.647,DHI,745819,4308141,819,141,858,745000,4308000
311,745840.596,4308113.66,DHI,745841,4308114,841,114,885,745000,4308000
312,745860.4398,4308096.991,DHI,745860,4308097,860,97,902,745000,4308000
313,745871.9492,4308087.466,DHI,745872,4308087,872,87,912,745000,4308000
314,745897.7461,4308100.166,DHI,745898,4308100,898,100,899,745000,4308000
315,745923.1462,4308116.438,DHI,745923,4308116,923,116,883,745000,4308000
316,745942.9899,4308128.741,DHI,745943,4308129,943,129,870,745000,4308000
317,745870.7585,4308071.591,DHI,745871,4308072,871,72,927,745000,4308000
318,745887.8242,4308054.525,DHI,745888,4308055,888,55,944,745000,4308000
319,745867.1867,4308045.794,DHI,745867,4308046,867,46,953,745000,4308000
320,745850.9148,4308037.459,DHI,745851,4308037,851,37,962,745000,4308000
321,745827.896,4308023.172,DHI,745828,4308023,828,23,976,745000,4308000
322,745814.4022,4308037.459,DHI,745814,4308037,814,37,962,745000,4308000
323,745808.0522,4308061.272,DHI,745808,4308061,808,61,938,745000,4308000
324,745805.274,4308004.122,DHI,745805,4308004,805,4,995,745000,4308000
325,745821.9428,4307996.184,DHI,745822,4307996,822,996,3,745000,4307000
326,745839.0085,4307977.134,DHI,745839,4307977,839,977,22,745000,4307000
327,745842.1835,4307932.684,DHI,745842,4307933,842,933,66,745000,4307000
328,745781.4615,4308008.884,DHI,745781,4308009,781,9,990,745000,4308000
329,745782.6521,4308038.65,DHI,745783,4308039,783,39,960,745000,4308000
330,745788.2084,4308062.066,DHI,745788,4308062,788,62,937,745000,4308000
331,745787.8115,4308087.466,DHI,745788,4308087,788,87,912,745000,4308000
332,745788.2084,4308117.232,DHI,745788,4308117,788,117,882,745000,4308000
333,745791.7803,4308145.807,DHI,745792,4308146,792,146,853,745000,4308000
334,745775.5084,4308147.394,DHI,745776,4308147,776,147,852,745000,4308000
335,745778.2865,4308168.825,DHI,745778,4308169,778,169,830,745000,4308000
336,745765.5865,4308125.566,DHI,745766,4308126,766,126,873,745000,4308000
337,745746.5364,4308112.469,DHI,745747,4308112,747,112,887,745000,4308000
338,745719.5489,4308095.006,DHI,745720,4308095,720,95,904,745000,4308000
339,745708.0395,4308067.225,DHI,745708,4308067,708,67,932,745000,4308000
340,745752.4896,4308089.847,DHI,745752,4308090,752,90,909,745000,4308000
341,745753.2833,4308068.813,DHI,745753,4308069,753,69,930,745000,4308000
342,745741.7739,4308043.81,DHI,745742,4308044,742,44,955,745000,4308000
343,745722.327,4308042.222,DHI,745722,4308042,722,42,957,745000,4308000
344,745762.0146,4307985.469,DHI,745762,4307985,762,985,14,745000,4307000
345,745989.8213,4308066.431,DHI,745990,4308066,990,66,933,745000,4308000
346,746000.9338,4307999.756,DHI,746001,4308000,1,0,999,746000,4308000
347,745948.1493,4307955.306,DHI,745948,4307955,948,955,44,745000,4307000
348,745936.2431,4307937.447,DHI,745936,4307937,936,937,62,745000,4307000
349,745931.8774,4307978.325,DHI,745932,4307978,932,978,21,745000,4307000
350,745918.7805,4308001.741,DHI,745919,4308002,919,2,997,745000,4308000
351,745908.8586,4308019.997,DHI,745909,4308020,909,20,979,745000,4308000
352,745972.7556,4308214.466,DHI,745973,4308214,973,214,785,745000,4308000
353,746004.9026,4308169.619,DHI,746005,4308170,5,170,829,746000,4308000
354,746000.5369,4308133.107,DHI,746001,4308133,1,133,866,746000,4308000
355,746021.5714,4308223.991,DHI,746022,4308224,22,224,775,746000,4308000
356,746038.637,4308237.882,DHI,746039,4308238,39,238,761,746000,4308000
357,746060.8621,4308273.601,DHI,746061,4308274,61,274,725,746000,4308000
358,746083.0871,4308275.585,DHI,746083,4308276,83,276,723,746000,4308000
359,746128.3309,4308230.738,DHI,746128,4308231,128,231,768,746000,4308000
360,746146.9841,4308223.991,DHI,746147,4308224,147,224,775,746000,4308000
361,746120.7903,4308171.604,DHI,746121,4308172,121,172,827,746000,4308000
362,746077.134,4308226.769,DHI,746077,4308227,77,227,772,746000,4308000
363,745947.7525,4308245.819,DHI,745948,4308246,948,246,753,745000,4308000
364,745912.0336,4308307.335,DHI,745912,4308307,912,307,692,745000,4308000
365,746066.4183,4308107.31,DHI,746066,4308107,66,107,892,746000,4308000
366,746112.8528,4308031.506,DHI,746113,4308032,113,32,967,746000,4308000
367,746232.7093,4308178.35,DHI,746233,4308178,233,178,821,746000,4308000
368,746236.6888,4308156.437,DHI,746237,4308156,237,156,843,746000,4308000
369,746253.7437,4308175.969,DHI,746254,4308176,254,176,823,746000,4308000
370,745899.1219,4307750.051,DHI,745899,4307750,899,750,249,745000,4307000
371,745852.026,4307778.891,DHI,745852,4307779,852,779,220,745000,4307000
372,745802.8134,4307815.668,DHI,745803,4307816,803,816,183,745000,4307000
373,745768.1529,4307838.951,DHI,745768,4307839,768,839,160,745000,4307000
374,745733.4924,4307864.351,DHI,745733,4307864,733,864,135,745000,4307000
375,745699.8903,4307895.307,DHI,745700,4307895,700,895,104,745000,4307000
376,745672.109,4307927.851,DHI,745672,4307928,672,928,71,745000,4307000
377,745654.911,4307947.166,DHI,745655,4307947,655,947,52,745000,4307000
378,745644.5923,4307967.539,DHI,745645,4307968,645,968,31,745000,4307000
379,745626.6006,4307991.616,DHI,745627,4307992,627,992,7,745000,4307000
380,745608.8734,4308019.662,DHI,745609,4308020,609,20,979,745000,4308000
381,745596.1734,4308045.326,DHI,745596,4308045,596,45,954,745000,4308000
