GRID_CODE,POINT_X,POINT_Y,NLCD,UPPERL_X,UPPERL_Y,X_Ind,Y_Ind_Flip,Y_Ind,X_Ext,Y_Ext
443,745617.4016,4308125.924,EF,745617,4308126,617,126,873,745000,4308000
428,745619.5153,4308136.981,EF,745620,4308137,620,137,862,745000,4308000
429,745629.7547,4308140.076,EF,745630,4308140,630,140,859,745000,4308000
430,745639.8353,4308142.299,EF,745640,4308142,640,142,857,745000,4308000
431,745649.3303,4308145.244,EF,745649,4308145,649,145,854,745000,4308000
432,745656.6629,4308137.536,EF,745657,4308138,657,138,861,745000,4308000
433,745660.1554,4308148.331,EF,745660,4308148,660,148,851,745000,4308000
437,745663.1548,4308129.634,EF,745663,4308130,663,130,869,745000,4308000
434,745669.1248,4308150.395,EF,745669,4308150,669,150,849,745000,4308000
436,745676.1194,4308144.186,EF,745676,4308144,676,144,855,745000,4308000
435,745679.2283,4308152.983,EF,745679,4308153,679,153,846,745000,4308000
439,745687.7611,4308158.473,EF,745688,4308158,688,158,841,745000,4308000
438,745688.7533,4308147.559,EF,745689,4308148,689,148,851,745000,4308000
440,745697.2861,4308162.244,EF,745697,4308162,697,162,837,745000,4308000
441,745705.9512,4308167.006,EF,745706,4308167,706,167,832,745000,4308000
442,745713.8226,4308171.769,EF,745714,4308172,714,172,827,745000,4308000
451,745799.8401,4308223.585,EF,745800,4308224,800,224,775,745000,4308000
450,745803.8618,4308214.272,EF,745804,4308214,804,214,785,745000,4308000
449,745808.0951,4308205.381,EF,745808,4308205,808,205,794,745000,4308000
448,745812.3285,4308196.915,EF,745812,4308197,812,197,802,745000,4308000
447,745818.2552,4308187.601,EF,745818,4308188,818,188,811,745000,4308000
446,745822.4277,4308179.813,EF,745822,4308180,822,180,819,745000,4308000
452,745835.8235,4308250.89,EF,745836,4308251,836,251,748,745000,4308000
445,745838.8319,4308146.793,EF,745839,4308147,839,147,852,745000,4308000
453,745847.6769,4308247.08,EF,745848,4308247,848,247,752,745000,4308000
444,745849.4152,4308136.633,EF,745849,4308137,849,137,862,745000,4308000
454,745861.2236,4308239.672,EF,745861,4308240,861,240,759,745000,4308000
455,745865.4569,4308232.263,EF,745865,4308232,865,232,767,745000,4308000
456,745870.9603,4308223.797,EF,745871,4308224,871,224,775,745000,4308000
457,745874.1353,4308216.177,EF,745874,4308216,874,216,783,745000,4308000
458,745877.5219,4308208.133,EF,745878,4308208,878,208,791,745000,4308000
459,745883.2369,4308199.243,EF,745883,4308199,883,199,800,745000,4308000
460,745891.6428,4308183.941,EF,745892,4308184,892,184,815,745000,4308000
461,745900.3212,4308175.685,EF,745900,4308176,900,176,823,745000,4308000
462,745909.2112,4308172.722,EF,745909,4308173,909,173,826,745000,4308000
463,745916.6195,4308175.897,EF,745917,4308176,917,176,823,745000,4308000
468,745954.6131,4308182.791,EF,745955,4308183,955,183,816,745000,4308000
466,745960.09,4308173.425,EF,745960,4308173,960,173,826,745000,4308000
467,745965.8844,4308179.14,EF,745966,4308179,966,179,820,745000,4308000
470,745968.8213,4308193.507,EF,745969,4308194,969,194,805,745000,4308000
469,745980.7275,4308193.507,EF,745981,4308194,981,194,805,745000,4308000
465,746003.0458,4308253.754,EF,746003,4308254,3,254,745,746000,4308000
464,746013.4175,4308248.463,EF,746013,4308248,13,248,751,746000,4308000
