,X_Loc,Y_Loc,NLCD,Code,X_Centroid,Y_Centroid
121,744453,4309106,NA,-9999,744468,4309121
122,744453,4309136,NA,-9999,744468,4309151
123,744453,4309166,DLI,22,744468,4309181
124,744453,4309196,NA,-9999,744468,4309211
273,744483,4309046,NA,-9999,744498,4309061
274,744483,4309076,DF,41,744498,4309091
275,744483,4309106,DLI,22,744498,4309121
276,744483,4309136,DLI,22,744498,4309151
277,744483,4309166,DF,41,744498,4309181
278,744483,4309196,DF,41,744498,4309211
279,744483,4309226,DF,41,744498,4309241
280,744483,4309256,NA,-9999,744498,4309271
425,744513,4308986,NA,-9999,744528,4309001
426,744513,4309016,DF,41,744528,4309031
427,744513,4309046,DLI,22,744528,4309061
428,744513,4309076,DLI,22,744528,4309091
429,744513,4309106,NA,-9999,744528,4309121
430,744513,4309136,DF,41,744528,4309151
431,744513,4309166,DF,41,744528,4309181
432,744513,4309196,DF,41,744528,4309211
433,744513,4309226,DF,41,744528,4309241
434,744513,4309256,DF,41,744528,4309271
435,744513,4309286,DF,41,744528,4309301
436,744513,4309316,NA,-9999,744528,4309331
437,744513,4309346,NA,-9999,744528,4309361
578,744543,4308956,NA,-9999,744558,4308971
579,744543,4308986,DLI,22,744558,4309001
580,744543,4309016,DF,41,744558,4309031
581,744543,4309046,DF,41,744558,4309061
582,744543,4309076,NA,-9999,744558,4309091
584,744543,4309136,DF,41,744558,4309151
585,744543,4309166,DF,41,744558,4309181
586,744543,4309196,DF,41,744558,4309211
587,744543,4309226,DF,41,744558,4309241
588,744543,4309256,DF,41,744558,4309271
589,744543,4309286,DF,41,744558,4309301
590,744543,4309316,DF,41,744558,4309331
591,744543,4309346,DF,41,744558,4309361
592,744543,4309376,DF,41,744558,4309391
593,744543,4309406,NA,-9999,744558,4309421
731,744573,4308926,DF,41,744588,4308941
732,744573,4308956,DLI,22,744588,4308971
733,744573,4308986,DF,41,744588,4309001
734,744573,4309016,NA,-9999,744588,4309031
737,744573,4309106,NA,-9999,744588,4309121
738,744573,4309136,DF,41,744588,4309151
739,744573,4309166,DF,41,744588,4309181
740,744573,4309196,DF,41,744588,4309211
741,744573,4309226,DF,41,744588,4309241
742,744573,4309256,DF,41,744588,4309271
743,744573,4309286,DF,41,744588,4309301
744,744573,4309316,DF,41,744588,4309331
745,744573,4309346,DF,41,744588,4309361
746,744573,4309376,DF,41,744588,4309391
747,744573,4309406,DF,41,744588,4309421
748,744573,4309436,DF,41,744588,4309451
749,744573,4309466,NA,-9999,744588,4309481
884,744603,4308896,NA,-9999,744618,4308911
885,744603,4308926,DLI,22,744618,4308941
886,744603,4308956,PH,81,744618,4308971
887,744603,4308986,NA,-9999,744618,4309001
891,744603,4309106,DF,41,744618,4309121
892,744603,4309136,DF,41,744618,4309151
893,744603,4309166,DF,41,744618,4309181
894,744603,4309196,DF,41,744618,4309211
895,744603,4309226,DF,41,744618,4309241
896,744603,4309256,DF,41,744618,4309271
897,744603,4309286,DF,41,744618,4309301
898,744603,4309316,DF,41,744618,4309331
899,744603,4309346,DF,41,744618,4309361
900,744603,4309376,DF,41,744618,4309391
901,744603,4309406,DF,41,744618,4309421
902,744603,4309436,DF,41,744618,4309451
903,744603,4309466,DF,41,744618,4309481
904,744603,4309496,DF,41,744618,4309511
905,744603,4309526,NA,-9999,744618,4309541
1037,744633,4308866,NA,-9999,744648,4308881
1038,744633,4308896,DLI,22,744648,4308911
1039,744633,4308926,PH,81,744648,4308941
1044,744633,4309076,SS,52,744648,4309091
1045,744633,4309106,DF,41,744648,4309121
1046,744633,4309136,DF,41,744648,4309151
1047,744633,4309166,DF,41,744648,4309181
1048,744633,4309196,DF,41,744648,4309211
1049,744633,4309226,DF,41,744648,4309241
1050,744633,4309256,DF,41,744648,4309271
1051,744633,4309286,DF,41,744648,4309301
1052,744633,4309316,DF,41,744648,4309331
1053,744633,4309346,DF,41,744648,4309361
1054,744633,4309376,DF,41,744648,4309391
1055,744633,4309406,DF,41,744648,4309421
1056,744633,4309436,DF,41,744648,4309451
1057,744633,4309466,DF,41,744648,4309481
1058,744633,4309496,DF,41,744648,4309511
1059,744633,4309526,DF,41,744648,4309541
1060,744633,4309556,DF,41,744648,4309571
1061,744633,4309586,DF,41,744648,4309601
1062,744633,4309616,NA,-9999,744648,4309631
1190,744663,4308836,NA,-9999,744678,4308851
1191,744663,4308866,DLI,22,744678,4308881
1192,744663,4308896,NA,-9999,744678,4308911
1193,744663,4308926,NA,-9999,744678,4308941
1194,744663,4308956,MF,43,744678,4308971
1195,744663,4308986,NA,-9999,744678,4309001
1197,744663,4309046,NA,-9999,744678,4309061
1198,744663,4309076,DF,41,744678,4309091
1199,744663,4309106,DF,41,744678,4309121
1200,744663,4309136,DF,41,744678,4309151
1201,744663,4309166,DF,41,744678,4309181
1202,744663,4309196,DF,41,744678,4309211
1203,744663,4309226,DF,41,744678,4309241
1204,744663,4309256,DF,41,744678,4309271
1205,744663,4309286,DF,41,744678,4309301
1206,744663,4309316,DF,41,744678,4309331
1207,744663,4309346,DF,41,744678,4309361
1208,744663,4309376,DF,41,744678,4309391
1209,744663,4309406,DF,41,744678,4309421
1210,744663,4309436,DF,41,744678,4309451
1211,744663,4309466,DF,41,744678,4309481
1212,744663,4309496,DF,41,744678,4309511
1213,744663,4309526,DF,41,744678,4309541
1214,744663,4309556,DF,41,744678,4309571
1215,744663,4309586,DF,41,744678,4309601
1216,744663,4309616,DF,41,744678,4309631
1217,744663,4309646,DF,41,744678,4309661
1218,744663,4309676,NA,-9999,744678,4309691
1344,744693,4308836,DLI,22,744708,4308851
1345,744693,4308866,DF,41,744708,4308881
1346,744693,4308896,DF,41,744708,4308911
1347,744693,4308926,PH,81,744708,4308941
1348,744693,4308956,NA,-9999,744708,4308971
1352,744693,4309076,NA,-9999,744708,4309091
1353,744693,4309106,DF,41,744708,4309121
1354,744693,4309136,DF,41,744708,4309151
1355,744693,4309166,DF,41,744708,4309181
1356,744693,4309196,DF,41,744708,4309211
1357,744693,4309226,DF,41,744708,4309241
1358,744693,4309256,DF,41,744708,4309271
1359,744693,4309286,DF,41,744708,4309301
1360,744693,4309316,DF,41,744708,4309331
1361,744693,4309346,DF,41,744708,4309361
1362,744693,4309376,DF,41,744708,4309391
1363,744693,4309406,DF,41,744708,4309421
1364,744693,4309436,DF,41,744708,4309451
1365,744693,4309466,DF,41,744708,4309481
1366,744693,4309496,DF,41,744708,4309511
1367,744693,4309526,DF,41,744708,4309541
1368,744693,4309556,DF,41,744708,4309571
1369,744693,4309586,DF,41,744708,4309601
1370,744693,4309616,DF,41,744708,4309631
1371,744693,4309646,DF,41,744708,4309661
1372,744693,4309676,DF,41,744708,4309691
1373,744693,4309706,DF,41,744708,4309721
1497,744723,4308806,NA,-9999,744738,4308821
1498,744723,4308836,DLI,22,744738,4308851
1499,744723,4308866,DF,41,744738,4308881
1500,744723,4308896,DF,41,744738,4308911
1507,744723,4309106,NA,-9999,744738,4309121
1508,744723,4309136,DF,41,744738,4309151
1509,744723,4309166,DF,41,744738,4309181
1510,744723,4309196,DF,41,744738,4309211
1511,744723,4309226,DF,41,744738,4309241
1512,744723,4309256,DF,41,744738,4309271
1513,744723,4309286,DF,41,744738,4309301
1514,744723,4309316,DF,41,744738,4309331
1515,744723,4309346,DF,41,744738,4309361
1516,744723,4309376,DF,41,744738,4309391
1517,744723,4309406,DF,41,744738,4309421
1518,744723,4309436,DF,41,744738,4309451
1519,744723,4309466,DF,41,744738,4309481
1520,744723,4309496,DF,41,744738,4309511
1521,744723,4309526,DF,41,744738,4309541
1522,744723,4309556,DF,41,744738,4309571
1523,744723,4309586,DF,41,744738,4309601
1524,744723,4309616,DF,41,744738,4309631
1525,744723,4309646,DF,41,744738,4309661
1526,744723,4309676,DF,41,744738,4309691
1527,744723,4309706,DF,41,744738,4309721
1651,744753,4308806,DLI,22,744768,4308821
1652,744753,4308836,MF,43,744768,4308851
1653,744753,4308866,SS,52,744768,4308881
1662,744753,4309136,NA,-9999,744768,4309151
1663,744753,4309166,DF,41,744768,4309181
1664,744753,4309196,DF,41,744768,4309211
1665,744753,4309226,DF,41,744768,4309241
1666,744753,4309256,DF,41,744768,4309271
1667,744753,4309286,DF,41,744768,4309301
1668,744753,4309316,DF,41,744768,4309331
1669,744753,4309346,DF,41,744768,4309361
1670,744753,4309376,DF,41,744768,4309391
1671,744753,4309406,DF,41,744768,4309421
1672,744753,4309436,DF,41,744768,4309451
1673,744753,4309466,DF,41,744768,4309481
1674,744753,4309496,DF,41,744768,4309511
1675,744753,4309526,DF,41,744768,4309541
1676,744753,4309556,DF,41,744768,4309571
1677,744753,4309586,DF,41,744768,4309601
1678,744753,4309616,DF,41,744768,4309631
1679,744753,4309646,DF,41,744768,4309661
1680,744753,4309676,DF,41,744768,4309691
1681,744753,4309706,DF,41,744768,4309721
1804,744783,4308776,NA,-9999,744798,4308791
1805,744783,4308806,DLI,22,744798,4308821
1806,744783,4308836,DLI,22,744798,4308851
1807,744783,4308866,PH,81,744798,4308881
1817,744783,4309166,NA,-9999,744798,4309181
1818,744783,4309196,DF,41,744798,4309211
1819,744783,4309226,DF,41,744798,4309241
1820,744783,4309256,DF,41,744798,4309271
1821,744783,4309286,DF,41,744798,4309301
1822,744783,4309316,DF,41,744798,4309331
1823,744783,4309346,DF,41,744798,4309361
1824,744783,4309376,DF,41,744798,4309391
1825,744783,4309406,DF,41,744798,4309421
1826,744783,4309436,DF,41,744798,4309451
1827,744783,4309466,DF,41,744798,4309481
1828,744783,4309496,DF,41,744798,4309511
1829,744783,4309526,DF,41,744798,4309541
1830,744783,4309556,DF,41,744798,4309571
1831,744783,4309586,DF,41,744798,4309601
1832,744783,4309616,DF,41,744798,4309631
1833,744783,4309646,DF,41,744798,4309661
1834,744783,4309676,DF,41,744798,4309691
1835,744783,4309706,DF,41,744798,4309721
1958,744813,4308776,NA,-9999,744828,4308791
