GRID_CODE,POINT_X,POINT_Y,NLCD,UPPERL_X,UPPERL_Y,X_Ind,Y_Ind_Flip,Y_Ind,X_Ext,Y_Ext
471,747116.5156,4309116.632,OW,747117,4309117,117,117,882,747000,4309000
472,747120.978,4309113.351,OW,747121,4309113,121,113,886,747000,4309000
473,747116.6468,4309108.757,OW,747117,4309109,117,109,890,747000,4309000
474,747118.6156,4309100.882,OW,747119,4309101,119,101,898,747000,4309000
475,747119.6655,4309093.926,OW,747120,4309094,120,94,905,747000,4309000
476,747119.5343,4309085.657,OW,747120,4309086,120,86,913,747000,4309000
477,747127.4092,4309083.951,OW,747127,4309084,127,84,915,747000,4309000
478,747132.3966,4309080.67,OW,747132,4309081,132,81,918,747000,4309000
479,747139.2215,4309076.339,OW,747139,4309076,139,76,923,747000,4309000
480,747136.334,4309069.514,OW,747136,4309070,136,70,929,747000,4309000
481,747134.2341,4309065.314,OW,747134,4309065,134,65,934,747000,4309000
482,747142.8964,4309072.008,OW,747143,4309072,143,72,927,747000,4309000
483,747148.5401,4309077.52,OW,747149,4309078,149,78,921,747000,4309000
484,747143.0277,4309083.295,OW,747143,4309083,143,83,916,747000,4309000
485,747138.3027,4309085.789,OW,747138,4309086,138,86,913,747000,4309000
486,747146.1776,4309090.645,OW,747146,4309091,146,91,908,747000,4309000
487,747147.4901,4309098.389,OW,747147,4309098,147,98,901,747000,4309000
488,747141.7152,4309096.945,OW,747142,4309097,142,97,902,747000,4309000
489,747135.1528,4309093.139,OW,747135,4309093,135,93,906,747000,4309000
490,747130.5591,4309097.732,OW,747131,4309098,131,98,901,747000,4309000
491,747127.0154,4309103.245,OW,747127,4309103,127,103,896,747000,4309000
492,747121.503,4309104.426,OW,747122,4309104,122,104,895,747000,4309000
493,747128.7216,4309113.088,OW,747129,4309113,129,113,886,747000,4309000
494,747133.9716,4309108.495,OW,747134,4309108,134,108,891,747000,4309000
495,747135.9403,4309099.57,OW,747136,4309100,136,100,899,747000,4309000
496,747141.7152,4309104.426,OW,747142,4309104,142,104,895,747000,4309000
497,747140.0429,4306948.818,OW,747140,4306949,140,949,50,747000,4306000
498,747149.9628,4306960.908,OW,747150,4306961,150,961,38,747000,4306000
499,747162.0526,4306973.928,OW,747162,4306974,162,974,25,747000,4306000
500,747173.2124,4306988.808,OW,747173,4306989,173,989,10,747000,4306000
501,747182.5122,4307001.517,OW,747183,4307002,183,2,997,747000,4307000
502,747198.322,4307009.267,OW,747198,4307009,198,9,990,747000,4307000
503,747214.4417,4307004.307,OW,747214,4307004,214,4,995,747000,4307000
504,747202.6619,4306994.698,OW,747203,4306995,203,995,4,747000,4306000
505,747190.5721,4306982.298,OW,747191,4306982,191,982,17,747000,4306000
506,747182.5122,4306971.448,OW,747183,4306971,183,971,28,747000,4306000
507,747170.7324,4306959.978,OW,747171,4306960,171,960,39,747000,4306000
508,747159.5726,4306948.508,OW,747160,4306949,160,949,50,747000,4306000
509,747155.5427,4306929.599,OW,747156,4306930,156,930,69,747000,4306000
510,747170.7324,4306934.869,OW,747171,4306935,171,935,64,747000,4306000
511,747184.0622,4306946.338,OW,747184,4306946,184,946,53,747000,4306000
512,747192.4321,4306959.048,OW,747192,4306959,192,959,40,747000,4306000
513,747203.2819,4306972.378,OW,747203,4306972,203,972,27,747000,4306000
514,747216.9217,4306985.398,OW,747217,4306985,217,985,14,747000,4306000
515,747229.6314,4306993.768,OW,747230,4306994,230,994,5,747000,4306000
516,747246.0612,4306983.848,OW,747246,4306984,246,984,15,747000,4306000
517,747263.1109,4306972.378,OW,747263,4306972,263,972,27,747000,4306000
518,747279.2306,4306963.388,OW,747279,4306963,279,963,36,747000,4306000
519,747292.5604,4306953.778,OW,747293,4306954,293,954,45,747000,4306000
520,747310.2301,4306942.928,OW,747310,4306943,310,943,56,747000,4306000
521,747331.6197,4306929.289,OW,747332,4306929,332,929,70,747000,4306000
522,747353.9394,4306918.129,OW,747354,4306918,354,918,81,747000,4306000
523,747368.8191,4306908.519,OW,747369,4306909,369,909,90,747000,4306000
524,747385.8688,4306898.599,OW,747386,4306899,386,899,100,747000,4306000
525,747397.6486,4306887.439,OW,747398,4306887,398,887,112,747000,4306000
526,747401.9886,4306868.53,OW,747402,4306869,402,869,130,747000,4306000
527,747395.1687,4306850.55,OW,747395,4306851,395,851,148,747000,4306000
528,747384.0089,4306838.77,OW,747384,4306839,384,839,160,747000,4306000
529,747364.1692,4306828.85,OW,747364,4306829,364,829,170,747000,4306000
530,747336.5797,4306828.85,OW,747337,4306829,337,829,170,747000,4306000
531,747312.4001,4306835.05,OW,747312,4306835,312,835,164,747000,4306000
532,747296.5903,4306843.73,OW,747297,4306844,297,844,155,747000,4306000
533,747285.1205,4306858.92,OW,747285,4306859,285,859,140,747000,4306000
534,747266.5208,4306871.32,OW,747267,4306871,267,871,128,747000,4306000
535,747245.7512,4306875.66,OW,747246,4306876,246,876,123,747000,4306000
536,747234.5914,4306881.859,OW,747235,4306882,235,882,117,747000,4306000
537,747218.4716,4306892.089,OW,747218,4306892,218,892,107,747000,4306000
538,747198.632,4306902.629,OW,747199,4306903,199,903,96,747000,4306000
539,747183.7522,4306912.549,OW,747184,4306913,184,913,86,747000,4306000
540,747171.0424,4306919.679,OW,747171,4306920,171,920,79,747000,4306000
541,747190.8821,4306924.949,OW,747191,4306925,191,925,74,747000,4306000
542,747201.1119,4306936.419,OW,747201,4306936,201,936,63,747000,4306000
543,747209.4818,4306950.678,OW,747209,4306951,209,951,48,747000,4306000
544,747220.6416,4306963.698,OW,747221,4306964,221,964,35,747000,4306000
545,747232.4214,4306974.548,OW,747232,4306975,232,975,24,747000,4306000
546,747251.3311,4306962.768,OW,747251,4306963,251,963,36,747000,4306000
547,747241.1013,4306948.508,OW,747241,4306949,241,949,50,747000,4306000
548,747230.5614,4306937.659,OW,747231,4306938,231,938,61,747000,4306000
549,747222.8116,4306921.849,OW,747223,4306922,223,922,77,747000,4306000
550,747211.0318,4306912.549,OW,747211,4306913,211,913,86,747000,4306000
551,747228.7015,4306899.839,OW,747229,4306900,229,900,99,747000,4306000
552,747237.3813,4306911.619,OW,747237,4306912,237,912,87,747000,4306000
553,747245.7512,4306927.119,OW,747246,4306927,246,927,72,747000,4306000
554,747266.2108,4306946.648,OW,747266,4306947,266,947,52,747000,4306000
555,747282.3306,4306937.659,OW,747282,4306938,282,938,61,747000,4306000
556,747299.0703,4306930.839,OW,747299,4306931,299,931,68,747000,4306000
557,747316.43,4306920.609,OW,747316,4306921,316,921,78,747000,4306000
558,747330.6898,4306910.379,OW,747331,4306910,331,910,89,747000,4306000
559,747349.9094,4306901.699,OW,747350,4306902,350,902,97,747000,4306000
560,747370.9891,4306890.539,OW,747371,4306891,371,891,108,747000,4306000
561,747383.3889,4306881.859,OW,747383,4306882,383,882,117,747000,4306000
