GRID_CODE,POINT_X,POINT_Y,NLCD,UPPERL_X,UPPERL_Y,X_Ind,Y_Ind_Flip,Y_Ind,X_Ext,Y_Ext
582,745956.4839,4307439.882,PH,745956,4307440,956,440,559,745000,4307000
583,745981.884,4307446.232,PH,745982,4307446,982,446,553,745000,4307000
584,746013.6341,4307446.232,PH,746014,4307446,14,446,553,746000,4307000
585,746045.3841,4307441.999,PH,746045,4307442,45,442,557,746000,4307000
586,746075.0175,4307425.065,PH,746075,4307425,75,425,574,746000,4307000
587,746068.6675,4307393.315,PH,746069,4307393,69,393,606,746000,4307000
588,746039.0341,4307410.248,PH,746039,4307410,39,410,589,746000,4307000
589,746007.284,4307412.365,PH,746007,4307412,7,412,587,746000,4307000
590,745984.0007,4307412.365,PH,745984,4307412,984,412,587,745000,4307000
591,745950.1339,4307397.548,PH,745950,4307398,950,398,601,745000,4307000
592,745939.5506,4307355.215,PH,745940,4307355,940,355,644,745000,4307000
593,745973.4173,4307370.032,PH,745973,4307370,973,370,629,745000,4307000
594,746019.9841,4307370.032,PH,746020,4307370,20,370,629,746000,4307000
595,746047.5008,4307348.865,PH,746048,4307349,48,349,650,746000,4307000
596,745933.2006,4307310.765,PH,745933,4307311,933,311,688,745000,4307000
597,745969.184,4307327.698,PH,745969,4307328,969,328,671,745000,4307000
598,746015.7507,4307327.698,PH,746016,4307328,16,328,671,746000,4307000
599,746045.3841,4307306.532,PH,746045,4307307,45,307,692,746000,4307000
600,746043.2674,4307281.132,PH,746043,4307281,43,281,718,746000,4307000
601,746000.934,4307293.832,PH,746001,4307294,1,294,705,746000,4307000
602,745967.0673,4307287.482,PH,745967,4307287,967,287,712,745000,4307000
603,745931.0839,4307274.782,PH,745931,4307275,931,275,724,745000,4307000
604,745903.5672,4307245.148,PH,745904,4307245,904,245,754,745000,4307000
605,745939.5506,4307236.681,PH,745940,4307237,940,237,762,745000,4307000
606,745990.3507,4307255.731,PH,745990,4307256,990,256,743,745000,4307000
607,746043.2674,4307238.798,PH,746043,4307239,43,239,760,746000,4307000
608,745892.9838,4307207.048,PH,745893,4307207,893,207,792,745000,4307000
609,745886.6338,4307173.181,PH,745887,4307173,887,173,826,745000,4307000
610,745867.5838,4307128.731,PH,745868,4307129,868,129,870,745000,4307000
611,745854.8837,4307099.098,PH,745855,4307099,855,99,900,745000,4307000
612,745840.067,4307054.648,PH,745840,4307055,840,55,944,745000,4307000
613,745821.017,4307022.898,PH,745821,4307023,821,23,976,745000,4307000
614,745814.667,4306986.914,PH,745815,4306987,815,987,12,745000,4306000
615,745859.1171,4306999.614,PH,745859,4307000,859,0,999,745000,4307000
616,745899.3338,4307018.664,PH,745899,4307019,899,19,980,745000,4307000
617,745935.3172,4307039.831,PH,745935,4307040,935,40,959,745000,4307000
618,745952.2506,4307077.931,PH,745952,4307078,952,78,921,745000,4307000
619,745912.0339,4307060.998,PH,745912,4307061,912,61,938,745000,4307000
620,745861.2338,4307037.714,PH,745861,4307038,861,38,961,745000,4307000
621,745882.4005,4307084.281,PH,745882,4307084,882,84,915,745000,4307000
622,745928.9672,4307101.215,PH,745929,4307101,929,101,898,745000,4307000
623,745897.2172,4307132.965,PH,745897,4307133,897,133,866,745000,4307000
624,745914.1505,4307171.065,PH,745914,4307171,914,171,828,745000,4307000
625,745933.2006,4307207.048,PH,745933,4307207,933,207,792,745000,4307000
626,745979.7673,4307217.631,PH,745980,4307218,980,218,781,745000,4307000
627,745962.834,4307173.181,PH,745963,4307173,963,173,826,745000,4307000
628,745937.4339,4307141.431,PH,745937,4307141,937,141,858,745000,4307000
629,745998.8174,4307132.965,PH,745999,4307133,999,133,866,745000,4307000
630,746003.0507,4307168.948,PH,746003,4307169,3,169,830,746000,4307000
631,746078.1925,4307286.952,PH,746078,4307287,78,287,712,746000,4307000
632,746100.4176,4307283.777,PH,746100,4307284,100,284,715,746000,4307000
633,746117.8801,4307267.902,PH,746118,4307268,118,268,731,746000,4307000
634,746128.1989,4307244.09,PH,746128,4307244,128,244,755,746000,4307000
635,746135.3426,4307220.277,PH,746135,4307220,135,220,779,746000,4307000
636,746126.6114,4307186.94,PH,746127,4307187,127,187,812,746000,4307000
637,746114.7051,4307159.952,PH,746115,4307160,115,160,839,746000,4307000
638,746104.3863,4307131.377,PH,746104,4307131,104,131,868,746000,4307000
639,746083.7488,4307093.277,PH,746084,4307093,84,93,906,746000,4307000
640,746058.3487,4307106.771,PH,746058,4307107,58,107,892,746000,4307000
641,746036.1237,4307118.677,PH,746036,4307119,36,119,880,746000,4307000
642,746036.9174,4307157.571,PH,746037,4307158,37,158,841,746000,4307000
643,746064.6987,4307141.696,PH,746065,4307142,65,142,857,746000,4307000
644,746051.205,4307192.496,PH,746051,4307192,51,192,807,746000,4307000
645,746081.3675,4307173.446,PH,746081,4307173,81,173,826,746000,4307000
646,746073.43,4307223.452,PH,746073,4307223,73,223,776,746000,4307000
647,746101.2113,4307201.227,PH,746101,4307201,101,201,798,746000,4307000
648,746107.5613,4307230.596,PH,746108,4307231,108,231,768,746000,4307000
649,746087.7175,4307253.615,PH,746088,4307254,88,254,745,746000,4307000
650,746312.3492,4307307.59,PH,746312,4307308,312,308,691,746000,4307000
651,746343.3055,4307291.715,PH,746343,4307292,343,292,707,746000,4307000
652,746371.0869,4307269.49,PH,746371,4307269,371,269,730,746000,4307000
653,746398.0744,4307245.677,PH,746398,4307246,398,246,753,746000,4307000
654,746414.7432,4307209.165,PH,746415,4307209,415,209,790,746000,4307000
655,746427.4432,4307172.652,PH,746427,4307173,427,173,826,746000,4307000
656,746396.4869,4307159.952,PH,746396,4307160,396,160,839,746000,4307000
657,746368.7056,4307140.108,PH,746369,4307140,369,140,859,746000,4307000
658,746342.5118,4307115.502,PH,746343,4307116,343,116,883,746000,4307000
659,746325.0493,4307130.583,PH,746325,4307131,325,131,868,746000,4307000
660,746309.1742,4307143.283,PH,746309,4307143,309,143,856,746000,4307000
661,746286.1554,4307169.477,PH,746286,4307169,286,169,830,746000,4307000
