GRID_CODE,POINT_X,POINT_Y,NLCD,UPPERL_X,UPPERL_Y,X_Ind,Y_Ind_Flip,Y_Ind,X_Ext,Y_Ext
788,745486.12,4307907.997,SS,745486,4307908,486,908,91,745000,4307000
789,745496.1742,4307915.141,SS,745496,4307915,496,915,84,745000,4307000
790,745510.1971,4307922.814,SS,745510,4307923,510,923,76,745000,4307000
791,745518.9284,4307931.809,SS,745519,4307932,519,932,67,745000,4307000
792,745531.3638,4307933.661,SS,745531,4307934,531,934,65,745000,4307000
793,745543.5347,4307934.72,SS,745544,4307935,544,935,64,745000,4307000
794,745552.5305,4307939.482,SS,745553,4307939,553,939,60,745000,4307000
795,745556.2347,4307931.016,SS,745556,4307931,556,931,68,745000,4307000
796,745545.9159,4307928.634,SS,745546,4307929,546,929,70,745000,4307000
797,745537.4492,4307927.576,SS,745537,4307928,537,928,71,745000,4307000
798,745517.6055,4307914.611,SS,745518,4307915,518,915,84,745000,4307000
799,745508.345,4307903.499,SS,745508,4307903,508,903,96,745000,4307000
800,745494.8512,4307894.768,SS,745495,4307895,495,895,104,745000,4307000
801,745502.7888,4307886.036,SS,745503,4307886,503,886,113,745000,4307000
802,745512.5784,4307893.709,SS,745513,4307894,513,894,105,745000,4307000
803,745525.8076,4307900.324,SS,745526,4307900,526,900,99,745000,4307000
804,745536.3909,4307910.907,SS,745536,4307911,536,911,88,745000,4307000
805,745544.593,4307917.786,SS,745545,4307918,545,918,81,745000,4307000
806,745556.2347,4307923.607,SS,745556,4307924,556,924,75,745000,4307000
807,745567.0826,4307924.666,SS,745567,4307925,567,925,74,745000,4307000
808,745571.316,4307914.876,SS,745571,4307915,571,915,84,745000,4307000
809,745560.9972,4307911.172,SS,745561,4307911,561,911,88,745000,4307000
810,745551.7368,4307907.732,SS,745552,4307908,552,908,91,745000,4307000
811,745538.5076,4307902.176,SS,745539,4307902,539,902,97,745000,4307000
812,745531.3638,4307892.122,SS,745531,4307892,531,892,107,745000,4307000
813,745522.8971,4307884.713,SS,745523,4307885,523,885,114,745000,4307000
814,745519.4575,4307877.305,SS,745519,4307877,519,877,122,745000,4307000
815,745530.3055,4307879.686,SS,745530,4307880,530,880,119,745000,4307000
816,745543.0055,4307884.184,SS,745543,4307884,543,884,115,745000,4307000
817,745549.6201,4307895.826,SS,745550,4307896,550,896,103,745000,4307000
818,745527.3951,4307836.824,SS,745527,4307837,527,837,162,745000,4307000
819,745544.8576,4307829.68,SS,745545,4307830,545,830,169,745000,4307000
820,745555.441,4307820.684,SS,745555,4307821,555,821,178,745000,4307000
821,745535.5972,4307817.774,SS,745536,4307818,536,818,181,745000,4307000
822,745533.2159,4307806.926,SS,745533,4307807,533,807,192,745000,4307000
823,745527.9242,4307781.261,SS,745528,4307781,528,781,218,745000,4307000
824,745541.1534,4307799.253,SS,745541,4307799,541,799,200,745000,4307000
825,745551.4722,4307799.253,SS,745551,4307799,551,799,200,745000,4307000
826,745559.4097,4307806.132,SS,745559,4307806,559,806,193,745000,4307000
827,745570.2576,4307807.72,SS,745570,4307808,570,808,191,745000,4307000
828,745580.3118,4307801.105,SS,745580,4307801,580,801,198,745000,4307000
829,745575.5493,4307789.199,SS,745576,4307789,576,789,210,745000,4307000
830,745569.1993,4307796.872,SS,745569,4307797,569,797,202,745000,4307000
831,745520.7805,4307793.432,SS,745521,4307793,521,793,206,745000,4307000
832,745510.4617,4307817.774,SS,745510,4307818,510,818,181,745000,4307000
833,745526.6013,4307768.826,SS,745527,4307769,527,769,230,745000,4307000
834,745607.0348,4307778.086,SS,745607,4307778,607,778,221,745000,4307000
835,745617.3536,4307776.763,SS,745617,4307777,617,777,222,745000,4307000
836,745595.1285,4307765.915,SS,745595,4307766,595,766,233,745000,4307000
837,745608.3577,4307753.744,SS,745608,4307754,608,754,245,745000,4307000
838,745630.0536,4307727.286,SS,745630,4307727,630,727,272,745000,4307000
839,745651.7495,4307745.542,SS,745652,4307746,652,746,253,745000,4307000
840,745641.6953,4307735.488,SS,745642,4307735,642,735,264,745000,4307000
841,745626.614,4307732.578,SS,745627,4307733,627,733,266,745000,4307000
842,745618.9411,4307743.426,SS,745619,4307743,619,743,256,745000,4307000
843,745637.7265,4307765.122,SS,745638,4307765,638,765,234,745000,4307000
844,745631.3765,4307755.067,SS,745631,4307755,631,755,244,745000,4307000
845,745762.2617,4307648.453,SS,745762,4307648,762,648,351,745000,4307000
